pair_id,reviewer_slot,reviewer_id_or_pseudonym,completed_at,sample_A_task_preserved,sample_B_task_preserved,worker_1_semantic_transfer,worker_2_semantic_transfer_or_not_applicable,executor_semantic_transfer,generic_tool_call_relation,notes
aihc__2-hop__thinking_off,1,,,,,,,,,
aihc__2-hop__thinking_off,2,,,,,,,,,
aihc__2-hop__thinking_on,1,,,,,,,,,
aihc__2-hop__thinking_on,2,,,,,,,,,
aihc__3-hop__thinking_off,1,,,,,,,,,
aihc__3-hop__thinking_off,2,,,,,,,,,
aihc__3-hop__thinking_on,1,,,,,,,,,
aihc__3-hop__thinking_on,2,,,,,,,,,
convex__2-hop__thinking_off,1,,,,,,,,,
convex__2-hop__thinking_off,2,,,,,,,,,
convex__2-hop__thinking_on,1,,,,,,,,,
convex__2-hop__thinking_on,2,,,,,,,,,
convex__3-hop__thinking_off,1,,,,,,,,,
convex__3-hop__thinking_off,2,,,,,,,,,
convex__3-hop__thinking_on,1,,,,,,,,,
convex__3-hop__thinking_on,2,,,,,,,,,
fin__2-hop__thinking_off,1,,,,,,,,,
fin__2-hop__thinking_off,2,,,,,,,,,
fin__2-hop__thinking_on,1,,,,,,,,,
fin__2-hop__thinking_on,2,,,,,,,,,
fin__3-hop__thinking_off,1,,,,,,,,,
fin__3-hop__thinking_off,2,,,,,,,,,
fin__3-hop__thinking_on,1,,,,,,,,,
fin__3-hop__thinking_on,2,,,,,,,,,
kg__2-hop__thinking_off,1,,,,,,,,,
kg__2-hop__thinking_off,2,,,,,,,,,
kg__2-hop__thinking_on,1,,,,,,,,,
kg__2-hop__thinking_on,2,,,,,,,,,
kg__3-hop__thinking_off,1,,,,,,,,,
kg__3-hop__thinking_off,2,,,,,,,,,
kg__3-hop__thinking_on,1,,,,,,,,,
kg__3-hop__thinking_on,2,,,,,,,,,
macro__2-hop__thinking_off,1,,,,,,,,,
macro__2-hop__thinking_off,2,,,,,,,,,
macro__2-hop__thinking_on,1,,,,,,,,,
macro__2-hop__thinking_on,2,,,,,,,,,
macro__3-hop__thinking_off,1,,,,,,,,,
macro__3-hop__thinking_off,2,,,,,,,,,
macro__3-hop__thinking_on,1,,,,,,,,,
macro__3-hop__thinking_on,2,,,,,,,,,
neuro__2-hop__thinking_off,1,,,,,,,,,
neuro__2-hop__thinking_off,2,,,,,,,,,
neuro__2-hop__thinking_on,1,,,,,,,,,
neuro__2-hop__thinking_on,2,,,,,,,,,
neuro__3-hop__thinking_off,1,,,,,,,,,
neuro__3-hop__thinking_off,2,,,,,,,,,
neuro__3-hop__thinking_on,1,,,,,,,,,
neuro__3-hop__thinking_on,2,,,,,,,,,
petro__2-hop__thinking_off,1,,,,,,,,,
petro__2-hop__thinking_off,2,,,,,,,,,
petro__2-hop__thinking_on,1,,,,,,,,,
petro__2-hop__thinking_on,2,,,,,,,,,
petro__3-hop__thinking_off,1,,,,,,,,,
petro__3-hop__thinking_off,2,,,,,,,,,
petro__3-hop__thinking_on,1,,,,,,,,,
petro__3-hop__thinking_on,2,,,,,,,,,
policy__2-hop__thinking_off,1,,,,,,,,,
policy__2-hop__thinking_off,2,,,,,,,,,
policy__2-hop__thinking_on,1,,,,,,,,,
policy__2-hop__thinking_on,2,,,,,,,,,
policy__3-hop__thinking_off,1,,,,,,,,,
policy__3-hop__thinking_off,2,,,,,,,,,
policy__3-hop__thinking_on,1,,,,,,,,,
policy__3-hop__thinking_on,2,,,,,,,,,
telecom__2-hop__thinking_off,1,,,,,,,,,
telecom__2-hop__thinking_off,2,,,,,,,,,
telecom__2-hop__thinking_on,1,,,,,,,,,
telecom__2-hop__thinking_on,2,,,,,,,,,
telecom__3-hop__thinking_off,1,,,,,,,,,
telecom__3-hop__thinking_off,2,,,,,,,,,
telecom__3-hop__thinking_on,1,,,,,,,,,
telecom__3-hop__thinking_on,2,,,,,,,,,
