domain,match_group_id,trajectory_id,treatment,delegation_depth,thinking_mode,step_index,agent_id,agent_role,checkpoints,layer_count,activation_file,sha256
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,clean,2-hop,off,0,planner_1,planner,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_000.pt,363ac718172e74d65977f28248bf3db973763adba23ad0ebb36589c6360719f6
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,clean,2-hop,off,2,worker_1,worker,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_002.pt,74dd08775fad95de03600601c972f12aebb8d095a073c4873d7732e7f57d3c44
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,clean,2-hop,off,3,executor_1,executor,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_003.pt,ec36124164a1e06eda5294342cf52f2e7e0aca33d78841f57ac50eca6e16b35e
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on,clean,2-hop,on,0,planner_1,planner,last_input_token;last_reasoning_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on/on/step_000.pt,c20f1a7f3b601f98f8cd965fe4e6771a215e485ce1bed306d876e6ba18a4b4ed
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on,clean,2-hop,on,2,worker_1,worker,last_input_token;last_reasoning_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on/on/step_002.pt,74c66ee757cb373da73628137bd1d43ae82d5b45e6df8895ec0467e3ac7af627
AIHC,aihc,aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on,clean,2-hop,on,3,executor_1,executor,last_input_token;last_reasoning_token;last_visible_answer_token,64,activations/aihc__2hop__clean__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on/on/step_003.pt,db63ab8907ca4cbd1c07ff9b2dd1254f6da117daeffb73a49ad95e56124c1e2f
AIHC,aihc,aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,injected,2-hop,off,0,planner_1,planner,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_000.pt,3fe2b732dcce8289643cd5e44801054b0458ff8c06731d7a6a5eaaf98751c798
AIHC,aihc,aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,injected,2-hop,off,2,worker_1,worker,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_002.pt,f40d3ff7559fc18f11acfe6f76476f404694a35c38620c831adefda625d11785
AIHC,aihc,aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off,injected,2-hop,off,3,executor_1,executor,last_input_token;last_visible_answer_token,64,activations/aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_off/off/step_003.pt,f42b9553a646ff2a76383c7d2df2747c7da4178fdeda62cf11f05e5f1092b45b
AIHC,aihc,aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on,injected,2-hop,on,0,planner_1,planner,last_input_token;last_reasoning_token;last_visible_answer_token,64,activations/aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on/on/step_000.pt,b22ff6f8c85bd1d8f1b2ed58e2599c1ba8b0b0e7d96ac8bae9a4f3cafd203e37
AIHC,aihc,aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on,injected,2-hop,on,2,worker_1,worker,last_input_token;last_reasoning_token;last_visible_answer_token,64,activations/aihc__2hop__injected__prompt_neutral_v1__gen_controlled_v2_5000__thinking_on/on/step_002.pt,eb69c114d73bd83ae895cc7834651910c68a7b005a9173e0e61247ed5b9a6888
