modal_app_id,description,environment,first_interval_start,last_interval_start,hourly_row_count,metered_cost_usd,resource_CPU_cost_usd,resource_H200_cost_usd,resource_Memory_cost_usd,tags_json,local_references_json
ap-LrA6bGMXImw03ujyFJDJ4W,spec-gap-qwen3-32b,main,2026-07-29T20:00:00+00:00,2026-07-29T20:00:00+00:00,1,0.54579407,0.00553741,0.53719318,0.00306348,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-KR4dlcdGYHDUMV2hwYckzM,spec-gap-qwen3-32b,main,2026-07-29T23:00:00+00:00,2026-07-29T23:00:00+00:00,1,0.52186610,0.00554496,0.51364588,0.00267526,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-F2K8ejHW2CXyCEtKW8KI8P,spec-gap-qwen3-32b,main,2026-07-30T00:00:00+00:00,2026-07-30T00:00:00+00:00,1,0.51936447,0.00514584,0.51169440,0.00252422,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-XJdlbxx4BlWaybqDxGv2Im,spec-gap-qwen3-32b,main,2026-07-30T20:00:00+00:00,2026-07-30T21:00:00+00:00,2,5.00407165,0.05277139,4.90150714,0.04979311,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/reviews/2026-07-30_aihc_finance_neutral_v1_run_summary.md""]"
ap-cJWDwcvXvzXMmrl6SgLOcG,spec-gap-qwen3-32b,main,2026-07-30T20:00:00+00:00,2026-07-30T20:00:00+00:00,1,1.01961156,0.01097185,1.00227815,0.00636156,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/reviews/2026-07-30_aihc_finance_neutral_v1_run_summary.md""]"
ap-HJbkGS6KZGl1ATaNEuXC0y,spec-gap-qwen3-32b,main,2026-07-30T22:00:00+00:00,2026-07-30T22:00:00+00:00,1,0.60294083,0.00556378,0.59454958,0.00282748,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/reviews/2026-07-30_neuro_neutral_v1_full_matrix_summary.md"", ""results/scenario1/reviews/2026-07-30_neuro_neutral_v1_smoke_summary.md""]"
ap-gDbQx8hz9sjR1N7tc2JU5P,spec-gap-qwen3-32b,main,2026-07-30T22:00:00+00:00,2026-07-30T23:00:00+00:00,2,1.63306514,0.01610691,1.60403745,0.01292079,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/reviews/2026-07-30_neuro_neutral_v1_full_matrix_summary.md""]"
ap-YdniKtKOnTGb2H8MbkCg5y,spec-gap-qwen3-32b,main,2026-07-31T03:00:00+00:00,2026-07-31T04:00:00+00:00,2,0.53914013,0.00527050,0.53052226,0.00334737,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-31TP5iv6JqFc3FjSbpkNyK,spec-gap-qwen3-32b,main,2026-07-31T04:00:00+00:00,2026-07-31T05:00:00+00:00,2,0.67266680,0.00700514,0.66114904,0.00451262,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/2026-07-31_macro_petroleum_smoke_readiness.md"", ""results/scenario1/2026-07-31_petroleum_2hop_attempt1_indeterminate_summary.md""]"
ap-LNqtyCeYtXPHJqYcdcreMB,spec-gap-qwen3-32b,main,2026-07-31T04:00:00+00:00,2026-07-31T04:00:00+00:00,1,0.51289427,0.00541804,0.50491518,0.00256105,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-OlSUO2s3mFABCf3ISA6tCc,spec-gap-qwen3-32b,main,2026-07-31T04:00:00+00:00,2026-07-31T04:00:00+00:00,1,0.30993028,0.00320461,0.30544310,0.00128256,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-oVQpHcyr5NA6LRUsvSQmhH,spec-gap-qwen3-32b,main,2026-07-31T04:00:00+00:00,2026-07-31T04:00:00+00:00,1,0.55267045,0.00571692,0.54377788,0.00317566,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/2026-07-31_macro_2hop_smoke_readable_summary.md"", ""results/scenario1/2026-07-31_macro_petroleum_smoke_readiness.md""]"
ap-t87mZg5r1QnPrReRhxf4dr,spec-gap-qwen3-32b,main,2026-07-31T05:00:00+00:00,2026-07-31T05:00:00+00:00,1,0.69867291,0.00742530,0.68668553,0.00456208,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/2026-07-31_petroleum_2hop_700_word_prompt_variant_summary.md""]"
ap-e07NK8QI3oRKb7lHf4RniE,spec-gap-qwen3-32b,main,2026-07-31T06:00:00+00:00,2026-07-31T06:00:00+00:00,1,0.04853578,0.00056458,0.04792255,0.00004865,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}",[]
ap-opGHXLAzpe0RHhNQVKU4CG,spec-gap-qwen3-32b,main,2026-07-31T06:00:00+00:00,2026-07-31T06:00:00+00:00,1,1.86384791,0.01869798,1.82748045,0.01766948,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/2026-07-31_macro_full_matrix_readable_summary.md""]"
ap-g1loKAi47eSt90q6Goylgn,spec-gap-qwen3-32b,main,2026-07-31T11:00:00+00:00,2026-07-31T11:00:00+00:00,1,1.85188213,0.01885968,1.81424664,0.01877582,"{""component"": ""qwen3-inference"", ""project"": ""spec-gap""}","[""results/scenario1/2026-07-31_macro_full_matrix_gen5000_v2_cost_summary.json"", ""results/scenario1/2026-07-31_macro_full_matrix_gen5000_v2_readable_summary.md""]"
